title,download_link,detail_page,number,type,language,date,version,product_name,file_name
Digital certificate for firmware signing Advance Communication v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=AdvCommunicationMaster.cer&p_Doc_Ref=PKICER_ADVCOMMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_ADVCOMMASTER/,PKICER_ADVCOMMASTER,固件-发布,英语,2017-01-18,v1.0,...,AdvCommunicationMaster.cer
DER file for Inductive Offer Master (part of Schneider Electric Firmware PKI) v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=InductiveOfferMaster.cer&p_Doc_Ref=PKICER_INDUCTOFFERMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_INDUCTOFFERMASTER/,PKICER_INDUCTOFFERMASTER,固件-发布,英语,2020-06-25,v1.0,...,InductiveOfferMaster.cer
PM800 Series Firmware V12.700 Turkish Option V12.700,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM800_12_700_Turkish_Option.zip&p_Doc_Ref=PM800_12_700_Turkish_Option,https://www.schneider-electric.cn/zh/download/document/PM800_12_700_Turkish_Option/,PM800_12_700_Turkish_Option,固件-发布,土耳其语/ 英语,2017-02-22,V12.700,PM800,PM800_12_700_Turkish_Option.zip
DER file for Wireless Offer Master (part of Schneider Electric Firmware PKI) v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=WirelessOfferMaster.cer&p_Doc_Ref=PKICER_WRLSSOFFERMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_WRLSSOFFERMASTER/,PKICER_WRLSSOFFERMASTER,固件-发布,英语,2020-06-25,v1.0,...,WirelessOfferMaster.cer
PM800 Series Firmware V12.700 V12.700,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM800_12_700.zip&p_Doc_Ref=PM800_12_700,https://www.schneider-electric.cn/zh/download/document/PM800_12_700/,PM800_12_700,固件-发布,英语,2017-02-22,V12.700,PM800,PM800_12_700.zip
PM800 Series Firmware V12.700 Portuguese Option V12.700,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM800_12_700_Portuguese_Option.zip&p_Doc_Ref=PM800_12_700_Portuguese_Option,https://www.schneider-electric.cn/zh/download/document/PM800_12_700_Portuguese_Option/,PM800_12_700_Portuguese_Option,固件-发布,英语/ 葡萄牙语,2017-02-22,V12.700,PM800,PM800_12_700_Portuguese_Option.zip
BMXAMI0800 firmware SV1.50,https://download.schneider-electric.com/files?p_Archive_Name=BMXAMI0800_FW.zip&p_enDocType=Firmware&p_Doc_Ref=BMXAMI0800_FW,https://www.schneider-electric.cn/zh/download/document/BMXAMI0800_FW/,BMXAMI0800_FW,固件-发布,英语,2020-04-23,SV1.50,Modicon X80 I/O平台,BMXAMI0800_FW.zip
ION7650 V400 Firmware V400,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=7650V400.zip&p_Doc_Ref=ION7650_V400_Firmware,https://www.schneider-electric.cn/zh/download/document/ION7650_V400_Firmware/,ION7650_V400_Firmware,固件-发布,英语,2015-02-26,V400,...,7650V400.zip
Digital certificate LVBreaker Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=LVBreakerSignature.cer&p_Doc_Ref=PKICER_LVBKSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_LVBKSIGN/,PKICER_LVBKSIGN,固件-发布,英语,2017-01-18,v1.0,...,LVBreakerSignature.cer
Digital certificate Motor Control Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=MotorControlSignature.cer&p_Doc_Ref=PKICER_MTRCTLSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_MTRCTLSIGN/,PKICER_MTRCTLSIGN,固件-发布,英语,2017-01-18,v1.0,...,MotorControlSignature.cer
ION7550 V410 Firmware v410,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=7550V410.zip&p_Doc_Ref=7550V410,https://www.schneider-electric.cn/zh/download/document/7550V410/,7550V410,固件-发布,英语,2017-03-06,v410,...,7550V410.zip
ION7550RTU V410 Firmware V4.10,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=7550RTUV410.zip&p_Doc_Ref=7550RTUV410,https://www.schneider-electric.cn/zh/download/document/7550RTUV410/,7550RTUV410,固件-发布,英语,2017-03-06,V4.10,...,7550RTUV410.zip
Digital certificate authority for Secure Boot - firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=SecureBootCA.cer&p_Doc_Ref=PKICER_SECBOOTCA,https://www.schneider-electric.cn/zh/download/document/PKICER_SECBOOTCA/,PKICER_SECBOOTCA,固件-发布,英语,2017-01-18,v1.0,Micrologic 控制单元,SecureBootCA.cer
Link 150 Firmware v5.0.27 Update Notification v5.0.27,https://download.schneider-electric.com/files?p_Archive_Name=Link150v5-0-27_Firmware_EGX150.zip&p_enDocType=Firmware&p_Doc_Ref=Link150v5-0-27_Firmware_EGX150,https://www.schneider-electric.cn/zh/download/document/Link150v5-0-27_Firmware_EGX150/,Link150v5-0-27_Firmware_EGX150,固件-发布,英语,2017-08-24,v5.0.27,Link150以太网关,Link150v5-0-27_Firmware_EGX150.zip
Digital certificate PM8000 for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM8000Signature.cer&p_Doc_Ref=PKICER_PM8000SIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_PM8000SIGN/,PKICER_PM8000SIGN,固件-发布,英语,2017-01-18,v1.0,...,PM8000Signature.cer
BMXAMI0810(H) firmware SV1.50,https://download.schneider-electric.com/files?p_Archive_Name=BMXAMI0810_FW.zip&p_enDocType=Firmware&p_Doc_Ref=BMXAMI0810_FW,https://www.schneider-electric.cn/zh/download/document/BMXAMI0810_FW/,BMXAMI0810_FW,固件-发布,英语,2020-04-23,SV1.50,Modicon X80 I/O平台,BMXAMI0810_FW.zip
Digital certificate BMS for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMSSignature.cer&p_Doc_Ref=PKICER_BMSSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_BMSSIGN/,PKICER_BMSSIGN,固件-发布,英语,2017-01-18,v1.0,...,BMSSignature.cer
Digital certificate Breaker Ethernet Module for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BreakerEthSignature.cer&p_Doc_Ref=PKICER_BRKETHSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_BRKETHSIGN/,PKICER_BRKETHSIGN,固件-发布,英语,2017-01-18,v1.0,...,BreakerEthSignature.cer
Digital certificate Advance Communication Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=EnergyManagementMaster.cer&p_Doc_Ref=PKICER_ENMGTMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_ENMGTMASTER/,PKICER_ENMGTMASTER,固件-发布,英语,2017-01-18,v1.0,...,EnergyManagementMaster.cer
Digital certificate LVBreakerMicrologic Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=LVBreakerMicrologicMaster.cer&p_Doc_Ref=PKICER_LVBKMICROMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_LVBKMICROMASTER/,PKICER_LVBKMICROMASTER,固件-发布,英语,2017-01-18,v1.0,...,LVBreakerMicrologicMaster.cer
Digital certificate Machine Solution Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=MachineSolutionMaster.cer&p_Doc_Ref=PKICER_MACHSOLMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_MACHSOLMASTER/,PKICER_MACHSOLMASTER,固件-发布,英语,2017-01-18,v1.0,...,MachineSolutionMaster.cer
Authority certificate for Firmware signing of Schneider Electric products v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=FirmwareSigningCA.cer&p_Doc_Ref=PKICER_FSIGNCA,https://www.schneider-electric.cn/zh/download/document/PKICER_FSIGNCA/,PKICER_FSIGNCA,固件-发布,英语,2017-01-18,v1.0,Micrologic 控制单元,FirmwareSigningCA.cer
Digital certificate PM9000 for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM9000Signature.cer&p_Doc_Ref=PKICER_PM9000SIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_PM9000SIGN/,PKICER_PM9000SIGN,固件-发布,英语,2017-01-18,v1.0,...,PM9000Signature.cer
Digital certificate BuildingManagement Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BuildingManagementMaster.cer&p_Doc_Ref=PKICER_BMSMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_BMSMASTER/,PKICER_BMSMASTER,固件-发布,英语,2017-01-18,v1.0,...,BuildingManagementMaster.cer
Digital certificate ComX500 for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=COMX500Signature.cer&p_Doc_Ref=PKICER_COMX500SIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_COMX500SIGN/,PKICER_COMX500SIGN,固件-发布,英语,2017-01-18,v1.0,...,COMX500Signature.cer
Digital certificate Motor Control Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=MotorControlMaster.cer&p_Doc_Ref=PKICER_MTRCTLMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_MTRCTLMASTER/,PKICER_MTRCTLMASTER,固件-发布,英语,2017-01-18,v1.0,...,MotorControlMaster.cer
Digital certificate Video Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=VideoMaster.cer&p_Doc_Ref=PKICER_VIDEOMAST,https://www.schneider-electric.cn/zh/download/document/PKICER_VIDEOMAST/,PKICER_VIDEOMAST,固件-发布,英语,2017-01-18,v1.0,...,VideoMaster.cer
ION7650 V410 Firmware v410,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=7650V410.zip&p_Doc_Ref=7650V410,https://www.schneider-electric.cn/zh/download/document/7650V410/,7650V410,固件-发布,英语,2017-03-06,v410,...,7650V410.zip
Digital certificate FR_LATTES for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=FR_LATTESSignature.cer&p_Doc_Ref=PKICER_LATTESSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_LATTESSIGN/,PKICER_LATTESSIGN,固件-发布,英语,2017-01-18,v1.0,...,FR_LATTESSignature.cer
Digital certificate Final Distribution Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=FinalDistributionSignature.cer&p_Doc_Ref=PKICER_FNLDISTSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_FNLDISTSIGN/,PKICER_FNLDISTSIGN,固件-发布,英语,2017-01-18,v1.0,...,FinalDistributionSignature.cer
Digital certificate MicrologicX for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=MicrologicXSignature.cer&p_Doc_Ref=PKICER_MICROXSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_MICROXSIGN/,PKICER_MICROXSIGN,固件-发布,英语,2017-01-18,v1.0,...,MicrologicXSignature.cer
Digital certificate PowerMeasurement Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PowerMeasurementMaster.cer&p_Doc_Ref=PKICER_POWMEAMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_POWMEAMASTER/,PKICER_POWMEAMASTER,固件-发布,英语,2017-01-18,v1.0,...,PowerMeasurementMaster.cer
Digital certificate Machine Solutions Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=MachineSolutionsSignature.cer&p_Doc_Ref=PKICER_MACHSOLSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_MACHSOLSIGN/,PKICER_MACHSOLSIGN,固件-发布,英语,2017-01-18,v1.0,...,MachineSolutionsSignature.cer
"PM53xx (PM5310,5320,5330,5331,5340,5341) V1.5.0 and V1.6.0 Firmware and associated files - Register List, Revision History, Whats New doc V1.6.0",https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM53xx_1.5.0_1.6.0.zip&p_Doc_Ref=PM53xx_1.5.0_1.6.0,https://www.schneider-electric.cn/zh/download/document/PM53xx_1.5.0_1.6.0/,PM53xx_1.5.0_1.6.0,固件-发布,英语,2015-07-16,V1.6.0,PM5000,PM53xx_1.5.0_1.6.0.zip
Digital certificate Electric Vehicle Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=ElectricVehicleMaster.cer&p_Doc_Ref=PKICER_EVMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_EVMASTER/,PKICER_EVMASTER,固件-发布,英语,2017-01-18,v1.0,...,ElectricVehicleMaster.cer
Digital certificate General PM Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=GeneralPMSignature.cer&p_Doc_Ref=PKICER_GENPMSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_GENPMSIGN/,PKICER_GENPMSIGN,固件-发布,英语,2017-01-18,v1.0,...,GeneralPMSignature.cer
Digital certificate Breaker IO for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BreakerIOSignature.cer&p_Doc_Ref=PKICER_BRKIOSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_BRKIOSIGN/,PKICER_BRKIOSIGN,固件-发布,英语,2017-01-18,v1.0,...,BreakerIOSignature.cer
PM5560 and PM5563 V2.0.1 Firmware v2.0.1,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM5560_PM5563_v2.0.1.zip&p_Doc_Ref=PM5560_PM5563_v2.0.1,https://www.schneider-electric.cn/zh/download/document/PM5560_PM5563_v2.0.1/,PM5560_PM5563_v2.0.1,固件-发布,英语,2015-03-30,v2.0.1,...,PM5560_PM5563_v2.0.1.zip
Digital certificate Smart Home Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=SmartHomeMaster.cer&p_Doc_Ref=PKICER_SMARTHMAST,https://www.schneider-electric.cn/zh/download/document/PKICER_SMARTHMAST/,PKICER_SMARTHMAST,固件-发布,英语,2017-01-18,v1.0,...,SmartHomeMaster.cer
Digital certificate of LV General Signature for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=LVGeneralSignature.cer&p_Doc_Ref=PKICER_LVGENSIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_LVGENSIGN/,PKICER_LVGENSIGN,固件-发布,英语,2017-01-18,v1.0,...,LVGeneralSignature.cer
Digital certificate ComX200 for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=COMX200Signature.cer&p_Doc_Ref=PKICER_COMX200SIGN,https://www.schneider-electric.cn/zh/download/document/PKICER_COMX200SIGN/,PKICER_COMX200SIGN,固件-发布,英语,2017-01-18,v1.0,...,COMX200Signature.cer
Digital certificate LVGeneral Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=LVGeneralMaster.cer&p_Doc_Ref=PKICER_LVGENMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_LVGENMASTER/,PKICER_LVGENMASTER,固件-发布,英语,2017-01-18,v1.0,...,LVGeneralMaster.cer
Digital certificate Final Distribution Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=FinalDistributionMaster.cer&p_Doc_Ref=PKICER_FNLDISTMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_FNLDISTMASTER/,PKICER_FNLDISTMASTER,固件-发布,英语,2017-01-18,v1.0,...,FinalDistributionMaster.cer
Digital certificate ICD Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=ICDMaster.cer&p_Doc_Ref=PKICER_ICDMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_ICDMASTER/,PKICER_ICDMASTER,固件-发布,英语,2018-06-06,v1.0,...,ICDMaster.cer
Digital certificate Modicon Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=ModiconMaster.cer&p_Doc_Ref=PKICER_MODMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_MODMASTER/,PKICER_MODMASTER,固件-发布,英语,2018-06-06,v1.0,...,ModiconMaster.cer
Digital certificate ITD Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=ITDMaster.cer&p_Doc_Ref=PKICER_ITDMASTER,https://www.schneider-electric.cn/zh/download/document/PKICER_ITDMASTER/,PKICER_ITDMASTER,固件-发布,英语,2018-02-28,v1.0,...,ITDMaster.cer
Revocation List of of IoT Bridge RSA Master for firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=IoTBridgeRSAMaster.crl&p_Doc_Ref=PKICRL_IOTBRSAMASTER,https://www.schneider-electric.cn/zh/download/document/PKICRL_IOTBRSAMASTER/,PKICRL_IOTBRSAMASTER,固件-发布,英语,2020-05-19,v1.0,Micrologic 控制单元,IoTBridgeRSAMaster.crl
Revocation List of certificate authority Secure Boot - firmware signing v1.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=SecureBootCA.crl&p_Doc_Ref=PKICRL_SECBOOTCA,https://www.schneider-electric.cn/zh/download/document/PKICRL_SECBOOTCA/,PKICRL_SECBOOTCA,固件-发布,英语,2017-01-18,v1.0,Micrologic 控制单元,SecureBootCA.crl
SpaceLogic KNX Firmware for DFU tool-Release Notes (EN) 0.21,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=SpaceLogic_KNX_Firmware_RELEASE_NOTES.pdf&p_Doc_Ref=Space_Logic_KNX_DFU_Firmware_n,https://www.schneider-electric.cn/zh/download/document/Space_Logic_KNX_DFU_Firmware_n/,Space_Logic_KNX_DFU_Firmware_n,固件-发布,英语,2020-10-19,0.21,KNX,SpaceLogic_KNX_Firmware_RELEASE_NOTES.pdf
PowerLogic PM5560 / PM5563 V2.7.4 Firmware Release V2.7.4,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM5560_PM5563_V2.7.4_Release.zip&p_Doc_Ref=PM5560_PM5563_V2.7.4_Release,https://www.schneider-electric.cn/zh/download/document/PM5560_PM5563_V2.7.4_Release/,PM5560_PM5563_V2.7.4_Release,固件-发布,英语,2019-02-01,V2.7.4,PM5000,PM5560_PM5563_V2.7.4_Release.zip
M580 BMEH582040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH582040.7z&p_Doc_Ref=M580_BMEH582040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH582040_SV2.80/,M580_BMEH582040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH582040.7z
M580 BMEH584040S Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH584040S.7z&p_Doc_Ref=M580_BMEH584040S_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH584040S_SV2.80/,M580_BMEH584040S_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH584040S.7z
M580 BMEP582040S Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP582040S.7z&p_Doc_Ref=M580_BMEP582040S_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP582040S_SV2.80/,M580_BMEP582040S_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP582040S.7z
X80 BMECRA31210 Firmware SV2.40 V2.40,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMECRA31210.7z&p_Doc_Ref=X80_BMECRA31210_SV2.40,https://www.schneider-electric.cn/zh/download/document/X80_BMECRA31210_SV2.40/,X80_BMECRA31210_SV2.40,固件-发布,英语,2019-02-18,V2.40,Modicon X80 I/O平台,BMECRA31210.7z
M580 BMEH586040S Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH586040S.7z&p_Doc_Ref=M580_BMEH586040S_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH586040S_SV2.80/,M580_BMEH586040S_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH586040S.7z
M580 BMEP582040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP582040.7z&p_Doc_Ref=M580_BMEP582040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP582040_SV2.80/,M580_BMEP582040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP582040.7z
M580 BMEP584040S Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP584040S.7z&p_Doc_Ref=M580_BMEP584040S_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP584040S_SV2.80/,M580_BMEP584040S_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP584040S.7z
M580 BMEP584020 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP584020.7z&p_Doc_Ref=M580_BMEP584020_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP584020_SV2.80/,M580_BMEP584020_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP584020.7z
X80 BMXCRA31210 Firmware SV2.40 V2.40,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMXCRA31210.7z&p_Doc_Ref=X80_BMXCRA31210_SV2.40,https://www.schneider-electric.cn/zh/download/document/X80_BMXCRA31210_SV2.40/,X80_BMXCRA31210_SV2.40,固件-发布,英语,2019-02-18,V2.40,Modicon X80 I/O平台,BMXCRA31210.7z
"PowerLogic PM5341 v1.06.5, HW v.A1 firmware v1.06.5",https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=PM5341_FW_v1.06.5_HW_vA1.zip&p_Doc_Ref=PM5341_FW_v1.06.5_HW_vA1,https://www.schneider-electric.cn/zh/download/document/PM5341_FW_v1.06.5_HW_vA1/,PM5341_FW_v1.06.5_HW_vA1,固件-发布,英语,2019-06-10,v1.06.5,PM5000,PM5341_FW_v1.06.5_HW_vA1.zip
ION8650 V403 Firmware V403,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=ION8650%28ABC%29_V403_Firmware_Upgrade_Files.zip&p_Doc_Ref=ION8650_V403_Firmware,https://www.schneider-electric.cn/zh/download/document/ION8650_V403_Firmware/,ION8650_V403_Firmware,固件-发布,英语,2012-03-14,V403,ION8650,ION8650%28ABC%29_V403_Firmware_Upgrade_Files.zip
EGX300 v4.350 Firmware and 4.350 Disk Update v4.350,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=v4.350.zip&p_Doc_Ref=EGX300+v4.350+Firmware+and+4.350+Disk+Update,https://www.schneider-electric.cn/zh/download/document/EGX300+v4.350+Firmware+and+4.350+Disk+Update/,EGX300 v4.350 Firmware and 4.350 Disk Update,固件-发布,英语,2013-08-09,v4.350,EGX300,v4.350.zip
M580 BMEP581020 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP581020.7z&p_Doc_Ref=M580_BMEP581020_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP581020_SV2.80/,M580_BMEP581020_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP581020.7z
METSEPM89M0024 Analog I/O Module V001.002.000 firmware V1.2.0,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=METSEPM89M0024_AIO_V001.002.000_Release.s19&p_Doc_Ref=METSEPM89M0024_AIO_V001.002.00,https://www.schneider-electric.cn/zh/download/document/METSEPM89M0024_AIO_V001.002.00/,METSEPM89M0024_AIO_V001.002.00,固件-发布,英语,2019-03-05,V1.2.0,ION9000电能质量监测装置,METSEPM89M0024_AIO_V001.002.000_Release.s19
M580 BMEP583020 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP583020.7z&p_Doc_Ref=M580_BMEP583020_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP583020_SV2.80/,M580_BMEP583020_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP583020.7z
M580 BMEH586040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH586040.7z&p_Doc_Ref=M580_BMEH586040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH586040_SV2.80/,M580_BMEH586040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH586040.7z
M580 BMEP582020 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP582020.7z&p_Doc_Ref=M580_BMEP582020_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP582020_SV2.80/,M580_BMEP582020_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP582020.7z
X80 BMXCRA31200 Firmware SV2.40 V2.40,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMXCRA31200.7z&p_Doc_Ref=X80_BMXCRA31200_SV2.40,https://www.schneider-electric.cn/zh/download/document/X80_BMXCRA31200_SV2.40/,X80_BMXCRA31200_SV2.40,固件-发布,英语,2019-02-18,V2.40,Modicon X80 I/O平台,BMXCRA31200.7z
M580 BMEP583040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP583040.7z&p_Doc_Ref=M580_BMEP583040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP583040_SV2.80/,M580_BMEP583040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP583040.7z
M580 BMEH584040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH584040.7z&p_Doc_Ref=M580_BMEH584040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH584040_SV2.80/,M580_BMEH584040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH584040.7z
M580 BMEH582040S Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEH582040S.7z&p_Doc_Ref=M580_BMEH582040S_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEH582040S_SV2.80/,M580_BMEH582040S_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEH582040S.7z
M580 BMEP586040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP586040.7z&p_Doc_Ref=M580_BMEP586040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP586040_SV2.80/,M580_BMEP586040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP586040.7z
M580 BMEP584040 Firmware SV2.80 V2.80,https://download.schneider-electric.com/files?p_enDocType=Firmware&p_File_Name=BMEP584040.7z&p_Doc_Ref=M580_BMEP584040_SV2.80,https://www.schneider-electric.cn/zh/download/document/M580_BMEP584040_SV2.80/,M580_BMEP584040_SV2.80,固件-发布,英语,2019-01-30,V2.80,Modicon M580,BMEP584040.7z
